Time (s),Ux,Uy,Uz,k,omega,p
500,0.00158642807372,0.000343827489616,0.000319591648915,0.0016506597439,7.99273058268e-06,0.0462004512245
501,0.00160622454105,0.000346069040997,0.000320658903948,0.00164968975962,7.99451009126e-06,0.045986985492
502,0.00158801584513,0.000342400887371,0.000321008657178,0.00164741045365,7.99596225845e-06,0.0458976736258
503,0.00160048081592,0.000345560656302,0.00032364627118,0.00164604362575,7.998244929e-06,0.0454323570766
504,0.00158039325205,0.000341712328364,0.00032059085614,0.00164346696187,7.99974624356e-06,0.0453111914965
505,0.00161389405605,0.000349528072456,0.000326807664407,0.00164285475143,8.00272849841e-06,0.04514998359
506,0.00163353896791,0.000351878335777,0.000331385071891,0.00164110114191,8.00444405821e-06,0.0448724297396
507,0.00160986010895,0.000348236100119,0.000326515287978,0.00163872497361,8.00770312858e-06,0.0449736273943
508,0.0016055074583,0.000348140252438,0.000329298518262,0.00163635769707,8.00917491222e-06,0.045178863793
509,0.00161273568838,0.000349183688764,0.00032836610864,0.00163503164506,8.01166533876e-06,0.0451922485145
510,0.00161079592292,0.000348307988421,0.000328100062604,0.00163209695274,8.01180161501e-06,0.0445977935461
511,0.00164659010526,0.000354543133117,0.000331730286221,0.00163091248531,8.01465800952e-06,0.0445375738808
512,0.00161832338682,0.000348017242989,0.000327237793525,0.00162843852992,8.01690218764e-06,0.0448692458541
513,0.00163193284073,0.000353879389174,0.000326842360028,0.00162708484053,8.02126634073e-06,0.0451440012846
514,0.00162534820348,0.000350978809871,0.000326484414074,0.00162489040277,8.02437609116e-06,0.045530604485
515,0.00164109241041,0.000354047926844,0.00032581657099,0.00162365804714,8.02922537193e-06,0.0456232659157
516,0.00164001232609,0.000354260240382,0.000324556018881,0.00162144063269,8.03266329174e-06,0.0457199772796
517,0.00167033920848,0.000360089067559,0.0003265775183,0.00162017596299,8.03895917087e-06,0.045800834014
518,0.00166101942686,0.000356557543099,0.000324545373798,0.00161802213563,8.04419121947e-06,0.0458555507131
519,0.00169143236784,0.000362694286863,0.000328142139444,0.00161698664103,8.05044264351e-06,0.0458757890983
520,0.00167972168052,0.000364313037698,0.000324448367594,0.00161465931564,8.05539732179e-06,0.0463921593686
521,0.00169891909258,0.000365221572348,0.000323763583458,0.00161344625324,8.06088366747e-06,0.0466810666909
522,0.00169769676773,0.000367647639162,0.000321539816251,0.00161096496283,8.06449837016e-06,0.0467102020721
523,0.00172228437961,0.000372423672456,0.000322084917666,0.00161017166727,8.06992433317e-06,0.0467605644624
524,0.00171494546827,0.000373201869962,0.000321464827541,0.00160758274722,8.07432645798e-06,0.0470422760784
525,0.00172610560454,0.000373000895778,0.0003219487384,0.00160598454466,8.08023710165e-06,0.0469025202523
526,0.00170098094584,0.000366784431065,0.000319690166033,0.00160322293627,8.08448353546e-06,0.0468501577432
527,0.00171933143574,0.000368653402649,0.000325450343034,0.00160181337705,8.08876148284e-06,0.0467440235311
528,0.00168631459805,0.000363800948699,0.000325011926943,0.00159966785781,8.09156987342e-06,0.0466589265563
529,0.00167795825713,0.000363686159291,0.000320130132101,0.00159714319235,8.09539300582e-06,0.0461976534132
530,0.00165165403459,0.000360025912597,0.000317319257003,0.00159456894959,8.09728472893e-06,0.0463978740995
531,0.00166411942265,0.000364095340714,0.000317515763976,0.00159259223505,8.09960573964e-06,0.0465623437439
532,0.00165360871241,0.000363704900538,0.000315228446604,0.00158969323833,8.10084239854e-06,0.0466892400066
533,0.00167460288377,0.000364151331543,0.000320308783666,0.00158765585333,8.10346409584e-06,0.0466249206114
534,0.00166406392678,0.000357955547671,0.00031592683381,0.0015855379272,8.10473441497e-06,0.0466271049952
535,0.00166593488513,0.000360441041887,0.000318433963391,0.00158202366619,8.10763726613e-06,0.0466920093061
536,0.00164775553209,0.0003527657165,0.000312485050912,0.00157908551022,8.1096440051e-06,0.0468693025356
537,0.00165103599104,0.00035249312985,0.000309944192708,0.00157626318753,8.11398569631e-06,0.046865106275
538,0.00164384435894,0.000352668909413,0.000308669680802,0.00157327647792,8.11649780831e-06,0.0467398659351
539,0.00165629543122,0.000357652285162,0.000312991588072,0.00157270119335,8.12063783656e-06,0.0466035493563
540,0.00162287349821,0.000345304002698,0.00030166461649,0.00156712706519,8.12304868445e-06,0.0463411559501
541,0.00163099153682,0.000346479465704,0.000303060630709,0.00156534743878,8.12667326986e-06,0.0461445132669
542,0.00159655102674,0.000343328794056,0.000304346111032,0.00156118804606,8.12838769131e-06,0.0457395600758
543,0.00159454224962,0.000342491969131,0.00029829503755,0.00155932876919,8.13282467332e-06,0.0452908162261
544,0.00154972353589,0.000331427948335,0.00029036835775,0.00155473977584,8.13612807738e-06,0.044975966454
545,0.00155422970662,0.000333362641443,0.000293312576836,0.00155250298947,8.14166034702e-06,0.0444205268191
546,0.0015138215976,0.000327427532428,0.000290929258831,0.001549030166,8.14594776808e-06,0.0444263580316
547,0.00150496217947,0.000324796780711,0.000287166121151,0.00154638676463,8.15211738877e-06,0.0443145478871
548,0.00148330954039,0.000321252547444,0.000286888735956,0.00154310731272,8.1558504579e-06,0.0444429413704
549,0.00148696014581,0.000321010784466,0.00028481009794,0.00154063671264,8.16077369822e-06,0.0445441423877
550,0.00144751975352,0.000313879231882,0.000279163510642,0.00153688461321,8.16506724835e-06,0.0445944135323
551,0.00145087086999,0.000313201038769,0.000278622561739,0.00153431979371,8.17157576709e-06,0.0446015879291
552,0.00144144283805,0.000310276841532,0.000277625009977,0.00153105467515,8.17642151626e-06,0.0446622022398
553,0.00144874165042,0.0003099879436,0.00027887982155,0.00152822998189,8.1826123329e-06,0.0449386760667
554,0.00143189140124,0.000305798700092,0.000276949604009,0.00152450385652,8.18817233849e-06,0.0446690187363
555,0.00143530900621,0.000306340069692,0.000276267964754,0.00152175992256,8.19442089286e-06,0.0442085171555
556,0.00141784879867,0.000304267034221,0.000274376322126,0.00151886206453,8.20018582377e-06,0.0439436372973
557,0.00143192798363,0.000309751328631,0.00027693734779,0.00151610884195,8.20737053997e-06,0.0442491383884
558,0.00140099182886,0.000300042515127,0.0002725752806,0.0015117796226,8.21523255423e-06,0.0440769705488
559,0.00140878215738,0.000301103972245,0.000272115311456,0.00150922452282,8.2235342845e-06,0.0440403356383
560,0.00139136678256,0.000297754112364,0.000270158843322,0.0015052811788,8.23134432838e-06,0.0437222089448
561,0.00140488051866,0.000299710344819,0.000270358471785,0.00150269482189,8.24005824056e-06,0.0436339618284
562,0.00139152094617,0.000298556204892,0.000270810102768,0.00149862988635,8.24728732259e-06,0.0437213808211
563,0.00138994015344,0.000297255061818,0.00026818365235,0.00149617856634,8.25593069469e-06,0.0437944400933
564,0.00136760082742,0.000290850578559,0.000265161909676,0.00149157369414,8.26371427479e-06,0.0434478157387
565,0.00138134753458,0.000290823911768,0.00026510755256,0.00148840337496,8.27187755473e-06,0.0432121218653
566,0.00135893941915,0.000286222207096,0.000262339535629,0.00148393927874,8.27811391044e-06,0.0432929395616
567,0.00137793514011,0.000287859418413,0.000264386126021,0.00148078458025,8.28619629822e-06,0.0436459648357
568,0.00136160102996,0.000286125442087,0.00026360628195,0.00147647723459,8.2922559294e-06,0.0443318569507
569,0.00137422314965,0.000287756157067,0.000264786095541,0.00147293057738,8.29951500571e-06,0.0444833831011
570,0.00138201523394,0.000284333757307,0.000266018045019,0.00146882018964,8.30602824728e-06,0.0440999287193
571,0.00136599318175,0.000282976604879,0.000264764943013,0.00146506089026,8.31488729832e-06,0.0440879440641
572,0.00134623948739,0.000278992018064,0.00026222765631,0.0014606205355,8.32275837474e-06,0.0441032553498
573,0.00137438418799,0.000283690594375,0.000265776339679,0.00145757300234,8.33202242077e-06,0.0440262264345
574,0.0013558911821,0.000279696161923,0.000261045732155,0.00145305758799,8.34034869398e-06,0.0441561969336
575,0.00137490370302,0.000283665122431,0.000263577134266,0.00144968325497,8.3497968442e-06,0.0441804403727
576,0.0013618205764,0.000282202827195,0.000263724244819,0.00144553845468,8.35781785058e-06,0.0439691719076
577,0.001396136325,0.000290196264988,0.000267326148768,0.00144338012795,8.36609871403e-06,0.0438812086462
578,0.00135361282696,0.000282329474333,0.000261595776325,0.00143767953543,8.37326975692e-06,0.0434367824254
579,0.00137705446273,0.000288095936649,0.000266410218974,0.00143489130772,8.3809475034e-06,0.0427763376629
580,0.00134818924456,0.000286388747046,0.000260863416797,0.00142995811538,8.38755263046e-06,0.0424965746746
581,0.00137075699197,0.000291738177999,0.000263938942059,0.0014276174135,8.39527750127e-06,0.0423365118643
582,0.00135311164251,0.000290760613343,0.000264379327937,0.00142263122624,8.40187444564e-06,0.0422797106024
583,0.00136382233568,0.000291367489032,0.000261136905181,0.00141962224786,8.40836452998e-06,0.0421345070746
584,0.00134349824284,0.000287157687549,0.000258821776256,0.00141569029658,8.41381547418e-06,0.0423206829432
585,0.00135185956885,0.000289693198458,0.000260303053475,0.00141221485088,8.41978451472e-06,0.0422134796337
586,0.00134000152428,0.000287270525839,0.000259114131404,0.00140832375995,8.42483120714e-06,0.0422355043696
587,0.00135957319547,0.000291803422862,0.000260151507719,0.00140517681951,8.43073035341e-06,0.0427406320799
588,0.00134471484128,0.000285821936074,0.000256685978349,0.00140131107291,8.43701529271e-06,0.0427830636268
589,0.00137301373854,0.000288526134327,0.000258471151758,0.00139814678077,8.44370111408e-06,0.0428662255256
590,0.00136018118714,0.000285265901695,0.000256708826592,0.00139372559917,8.45052752402e-06,0.0428453834526
591,0.00139105524214,0.00028643517422,0.000257451247823,0.00139048314954,8.45770884332e-06,0.0426605797658
592,0.0013829752883,0.000282818211581,0.00025492864269,0.00138623141967,8.46476481748e-06,0.0428744738993
593,0.00141718690826,0.000285738620341,0.000256470638115,0.00138287218547,8.47360768634e-06,0.0433231947971
594,0.00141774122049,0.000288403037546,0.000259038422367,0.00137912550703,8.48300717396e-06,0.0437124472892
595,0.00143439399083,0.000292652015675,0.000256258470761,0.00137565884696,8.49140662726e-06,0.0437857820817
596,0.00142571156237,0.000287456082336,0.000255661942725,0.00137161869977,8.49993718635e-06,0.043462986671
597,0.00144300290838,0.000286624064684,0.000255654662504,0.00136780580722,8.50967157536e-06,0.0431992899968
598,0.00141330027103,0.000280654882269,0.000249959951567,0.00136341380034,8.51823979556e-06,0.0429557750636
599,0.00141577915202,0.000282690693739,0.000250814230091,0.00135962553992,8.52789728935e-06,0.0427716293978
600,0.00138698344221,0.000275974411746,0.000246698095469,0.00135473976991,8.53791613195e-06,0.0423207098464
601,0.00139880409128,0.000278210703169,0.000248404915035,0.00135045529229,8.54763301466e-06,0.0416554488562
602,0.00136843290182,0.000272863539135,0.000243337843106,0.00134588629113,8.5579270264e-06,0.0413940733766
603,0.0013646421445,0.000275148742788,0.000245286577305,0.00134189382545,8.56799129297e-06,0.0410766743679
604,0.00132408247472,0.000267616296008,0.000241565494981,0.00133684991833,8.5783102532e-06,0.041038927844
605,0.00132656694089,0.000271872439622,0.000246112967048,0.00133329988962,8.58838484388e-06,0.0410001995186
606,0.00128326389904,0.000262819037396,0.000236895930876,0.00132820429819,8.5993841249e-06,0.0409134529245
607,0.00131915695391,0.000274782578499,0.000244462231162,0.00132460764552,8.60943033098e-06,0.0407290748159
608,0.00126200710859,0.000262477865941,0.000238480593734,0.00131946789735,8.62019438118e-06,0.040513365378
609,0.00125814140618,0.000259625994185,0.000234751940479,0.00131524365533,8.63044806073e-06,0.0401916630938
